slug	area_name	name	notes
# === 九十九里 ===
choshi-gaiko	九十九里	銚子外港	大型港湾で回遊魚期待
choshi-ko	九十九里	銚子港	港内中心で足場が比較的安定
fudodo-kaigan	九十九里	不動堂海岸	九十九里南部の定番浜
horikawa-hama	九十九里	堀川浜	静かなサーフで探りやすい
iioka-ko	九十九里	飯岡港	港内外で多魚種を狙える
inubosaki	九十九里	犬吠埼	地磯主体で景観抜群
katakai-ko	九十九里	片貝港	九十九里中部の代表港
kidohama-kaigan	九十九里	木戸浜海岸	九十九里北部の定番浜
kimigahama	九十九里	君ヶ浜	サーフで投げ釣り向き
kuromae-ko	九十九里	黒生港	外洋向きで風波の影響大
magame-kaigan	九十九里	真亀海岸	広い浜で投げ釣り向き
motosuka-kaigan	九十九里	本須賀海岸	広い浜でキス狙い向き
nagaarai-ko	九十九里	名洗港	外港寄りの実績場
nakayazato-kaigan	九十九里	中谷里海岸	広い浜で投げ釣り向き
note-hama	九十九里	野手浜	投げ釣り向きの広い浜
sakuda-kaigan	九十九里	作田海岸	サーフでのびのび探れる
shirasato-kaigan	九十九里	白里海岸	広い浜で投げやすい
yokata-kaigan	九十九里	屋形海岸	遠浅の投げ釣り場
yoshizaki-hama	九十九里	吉崎浜	遠浅のサーフポイント
# === 内房 ===
dairoku-port	内房	大六港	小規模港でイカやクロダイ
funakata-port	内房	船形港	大きめの港で足場良好
futtsu-kaigan	内房	富津海岸	遠浅の定番海岸
futtsu-minato-park	内房	富津みなと公園	護岸から手軽に狙える公園
haraoka-pier	内房	原岡桟橋	桟橋周りでキス実績
heisaura	内房	平砂浦	広大なサーフが続く
hojo-beach	内房	北条海岸	館山湾奥の投げ釣り場
hota-beach	内房	保田海岸	キス狙いで人気の砂浜
hota-yoshihama-reclaimed	内房	保田港吉浜埋立地	港横で足場が広め
iwai-beach	内房	岩井海岸	広い砂浜で投げ釣り向き
iwaibukuro-port	内房	岩井袋港	公園下地磯も狙える
kanaya-ferry-port	内房	金谷フェリー港	港内岸壁で回遊魚実績
kanaya-seaside-park	内房	金谷海浜公園	河口横の小波止ポイント
kazusa-minato-ko	内房	上総湊港	港内で手軽に竿を出せる
kazusa-minato-seaside-park	内房	上総湊港海浜公園	砂浜から投げやすい公園
kenbutsu-breakwater	内房	見物堤防	L字波止の外向きが人気
maruyama-breakwater	内房	丸山堤防	小堤防でクロダイ実績
mera-ko-uchibo	内房	布良港	館山側寄りの港場
minatogawa-river-mouth	内房	湊川河口	河口の流れ込みを狙える
motona-beach	内房	元名海岸	静かな浜で投げ釣り向き
myojin-misaki	内房	明神岬	岬下の地磯を歩いて狙う
namuya-beach	内房	南無谷海岸	静かな浜で人が少なめ
nunobiki-beach	内房	布引海岸	遠浅の砂浜で投げ釣り向き
okinoshima	内房	沖ノ島	陸続きの島で変化豊富
onuki-ko	内房	大貫港	内房南下の港ポイント
ryujima-port	内房	龍島港	竜ヶ崎堤防が人気
shimosu-port	内房	下洲港	赤灯周りが人気の漁港
shinmaiko-kaigan	内房	新舞子海岸	砂浜で投げ釣り向き
sunosaki-lighthouse-shita	内房	洲崎灯台下	地磯で潮通しが良い
sunosaki-west-port	内房	洲ノ崎西港	南端寄りの小漁港
takeoka-port	内房	竹岡港	港内外を探れる小漁港
