primary_type	name	slug	lead_text
fishing_facility	三崎港	misaki-ko	三浦半島の南端に位置する三崎港。城ヶ島との間は東京湾と相模湾の潮が交わり、潮通しが非常によい地形です。花暮岸壁（通称「はなぐれ」）は岸壁際からドン深の砂泥底で、ところどころ根が混じります。メジナは5〜11月を中心に顔を出し、夕まづめの時合いに活性が上がる傾向があります。港内という立地から魚はスレ気味で、コマセで群れを寄せても人の姿や竿を見せると警戒しがちです。常連はウキフカセで早朝から釣り座を押さえに来ます。
fishing_facility	三浦漁港	miura-gyoko-kihoku	三重県北牟婁郡紀北町に位置する小規模な漁港で、熊野灘に直接面しているぶん潮通しのよさが際立っています。釣りポイントは堤防と船着き場の2か所で、メインの堤防は沖側を遮るものがなく、潮流の変化がダイレクトに感じられます。堤防の中ほどにはアオリイカの墨跡が点在しており、秋イカシーズンはエギングの常連が集まります。朝マズメに合わせて夜中から入る釣り人も多く、潮の動き出しを狙うのがここでの定石です。クロダイとメジナはフカセで堤防際をじっくり流すスタイルが地元では主流となっています。
fishing_facility	三谷漁港	mitsuya-gyoko	蒲郡市三谷町に位置する三河湾北岸東部の漁港です。底引き網漁が盛んな第3種漁港で、漁港左側の堤防とテトラ帯、右側の岸壁の3エリアで釣りができます。防波堤の先端部分は低くなっており、浮き釣りや落とし込みでクロダイを狙う常連が集まる定番ポイントです。左端のテトラ帯は駐車場からも近く、クロダイやカサゴ狙いに使われています。シロギスやアジも実績があり、夏から秋にかけてが全体的に魚影の濃い時期です。広い釣り場の割に混雑しにくく、のんびり竿を出せる雰囲気があります。
fishing_facility	上総湊港	kazusa-minato-ko	湊川の河口に隣接する富津市の漁港で、内房エリアでは規模の大きな港のひとつです。底質は砂地で、港内の水深は2〜3メートルほど。堤防先端ではクロダイの実績があり、港内の水深があるポイントではウキ釣りやダンゴ釣りが定番のスタイルです。クロダイは春と秋に活性が上がる時期として知られており、常連はこの季節に集中して通います。コウイカは砂地底質のエリアを好む習性から、港内や沖向きの堤防まわりが有望で、アジやイワシなど回遊魚の群れが入る時期とも重なる秋が狙いどきとされています。南寄り・東寄りの風には比較的強い地形です。
fishing_facility	下多賀港（池田港）	shimotaga-ko	熱海市下多賀に位置する小規模漁港で、入口がわかりにくく駐車場もないため地元の常連が中心の穴場です。港内の底質は砂地で水深は最深部でも5メートル未満と浅め。テトラ帯左側の沈みテトラ周りが特に実績の高いポイントとして知られており、波のある日はメジナやクロダイがテトラ際に寄りやすくなります。アオリイカはエギングで狙われ、アジは夜の時間帯に実績があります。春先にはクロダイの50センチクラスも出た記録があります。
fishing_facility	下津港	kinomoto-gyoko	海南市下津町に広がる下津港は、港湾合同庁舎前の岸壁と沖山波止など複数のポイントで構成される大型漁港です。奥まった地形で潮の流れは比較的緩やか、水深も浅めで足場の安心感があります。港最奥部ながら意外と流れがしっかり入り、アジはその潮に乗って回遊してきます。夏場は豆アジサイズが中心で、冬場になると尺近いサイズも交じります。潮は右から左（東向き）に流れることが多く、小波止の東側に魚が溜まりやすいため、地元のエサ釣り師もこちら側に集中する傾向があります。大阪市内よりシーズンインが早めで、市内でまだアジやイワシの回遊が見られない時期でも釣果が出ることがあります。クロダイは沖山波止での実績があり、常連は紀州釣りスタイルで狙います。
fishing_facility	下洲港	shimosu-port	この釣り場は現在、釣り禁止となりました。
fishing_facility	久留和漁港	kuruwa-gyoko	三浦半島西岸、横須賀市秋谷に位置する久留和漁港は相模湾に面した小さな漁港です。久留和川河口の導流堤まわりと北側の石積み堤防がクロダイを狙える主なポイントで、足元の捨て石に甲殻類が豊富に着いています。底質は砂地が主体で水深は浅め。地元の常連は春の乗っ込み期から夏にかけて、日没後の時間帯を中心に竿を出す人が多いようです。隣接する葉山と比べて人が少なく静かな土地柄で、週末でも混雑しにくい点が通い続ける理由のひとつになっています。
fishing_facility	乙浜港	otohama-ko	南房総市最南端の白浜エリアに位置する乙浜港は、千倉港と並ぶ規模の大きな港で、黒潮の恩恵を受けて水温が高く、一年を通して魚種が豊富です。東側の小堤防はクロダイのダンゴ釣りで知られる遠矢国利名人のホームグラウンドで、水深5m以上、海底は砂泥とゴロタ石に海藻が混在した地形です。クロダイは春の乗っ込み期が狙い目で、タナは底スレスレ5m前後が定石。アオリイカはこの東堤防に実績が多いものの、エギ禁止の表示があり泳がせ・ヤエンが主流です。アジは常夜灯まわりで夕マズメ以降に群れが入り、秋にはイナダやカンパチも9月上旬から回遊します。
fishing_facility	伊豆大川港	izu-okawa-ko	東伊豆町大川温泉のすぐ隣に位置する小さな漁港で、波止先端部が主なポイントです。水深は全体的に浅めで、足場の良い堤防からの釣りが基本となります。外向きテトラは立入禁止のため、釣りは内側の堤防に限られます。アジは夏から秋が本番で、堤防先端やや左側が実績ポイント。常連の中には、サビキで確保したアジをそのまま泳がせてアオリイカを狙う人も多く、秋口にはその両方を一度に楽しめることもあります。朝マズメにはアジのほかカマスやサバが混じることもあり、地元勢は早朝から足を運ぶスタイルが定番です。
