type	key	name	lead
pref	aichi	愛知県	伊勢湾・三河湾の穏やかな内湾と遠州灘の外洋面で異なる釣り場環境が楽しめます。クロダイ・キス・ハゼが年間を通じて狙え、冬のカレイも人気のターゲットです。
pref	chiba	千葉県	太平洋・東京湾・東京湾口の3エリアで釣り場が充実しています。黒潮の影響を受ける外房ではイナダ・ヒラメ、東京湾岸ではシーバス・クロダイが狙えます。
pref	kanagawa	神奈川県	相模湾・三浦半島・東京湾の3エリアで釣り場が充実しています。クロダイ・メジナ・キスが年間を通じて狙え、夏〜秋にはソウダガツオの回遊も見られます。
pref	mie	三重県	伊勢湾の穏やかな内湾から志摩・熊野灘の外洋磯まで地形が多様で魚種も豊富です。グレ・マダイ・キスが狙え、外洋エリアでは黒潮の影響でブリ系青物の回遊も期待できます。
pref	osaka	大阪府	大阪湾の穏やかな内湾と泉南沿岸の変化に富んだ地形で、都市近郊ながら魚種が豊富です。シーバス・チヌ・アジが年間を通じて狙える釣り場が揃っています。
pref	shizuoka	静岡県	伊豆半島・駿河湾・遠州灘と地形が多様で、黒潮の恩恵を受けた豊かな漁場が広がっています。メジナ・カサゴ・キスが狙え、秋にはイナダ・ソウダガツオの回遊も活発です。
pref	tokyo	東京都	東京湾奥から奥多摩・城南島など湾岸エリアまで釣り場が点在しています。シーバス・クロダイ・アジが狙え、湾奥の運河・港湾ではハゼ・カレイなど底物も充実しています。
pref	wakayama	和歌山県	黒潮が接近しやすい紀伊半島南岸は水温が高く、グレ・マダイ・ヒラメの魚影が濃いエリアです。磯場が豊富で磯釣りの好適地が多く、秋冬のグレ狙いに特に定評があります。
area	aichi/enshu-nada	遠州灘	遠州灘は外洋に面した砂浜海岸が続き、強い潮流と波気が特徴のエリアです。投げ釣りでキス・カレイが狙え、秋〜冬にはヒラメ・マゴチの実績も高いポイントが多くあります。
area	aichi/isewan	伊勢湾	伊勢湾は愛知・三重に囲まれた穏やかな内湾で、潮流が比較的緩やかなため波が立ちにくく釣りやすい環境です。クロダイ・キス・ハゼが狙え、冬はカレイの好期でもあります。
area	aichi/mikawa-bay	三河湾	三河湾は閉鎖性の高い内湾で潮通しが穏やか、砂泥底が広がりハゼ・キスの好漁場として知られています。春〜秋はクロダイも狙え、ファミリー向けの釣り場も豊富にあります。
area	chiba/kujukuri	九十九里	九十九里は60km超の砂浜が続く外洋向けのエリアで、強い波と長い汀線が特徴です。投げ釣りでキス・イシモチが定番で、秋にはイナダ・ワカシのナブラも発生します。
area	chiba/sotobo	外房	外房は太平洋の外洋うねりが直接当たる磯・砂浜が混在するエリアです。黒潮の影響で水温が高く、グレ・イシダイ・ヒラメが狙え、秋にはカツオ・イナダの回遊も見られます。
area	chiba/tokyobay	東京湾	東京湾（千葉側）は護岸・港湾・河口が多く、湾奥特有の豊富なベイトを追ってシーバス・クロダイが高実績です。アジ・サバのサビキ釣りも盛んで、通年楽しめるエリアです。
area	chiba/uchibo	内房	内房は東京湾に面した穏やかな海況が続き、水深の変化に富んだ地形が魚を集めます。クロダイ・メジナ・アジが狙いやすく、ファミリーから上級者まで対応できる釣り場が揃っています。
area	kanagawa/miura	三浦半島	三浦半島は相模湾・東京湾の両面に釣り場があり、潮通しの良い岩礁帯が発達しています。メジナ・カサゴが年間を通じて狙え、春〜秋はクロダイ、夏〜秋はタチウオも回遊します。
area	kanagawa/sagamibay	相模湾	相模湾は外洋に開けた地形で黒潮の影響を受けやすく、水温が安定しています。春〜秋はクロダイ・メジナ、夏〜秋にはソウダガツオ・イナダの回遊が活発になります。
area	kanagawa/tokyobay	東京湾	東京湾（神奈川側）は横浜・横須賀周辺の護岸・磯・港が揃い、変化に富んだ釣り場環境です。シーバス・クロダイが通年狙え、アジ・サバのライトゲームも盛んなエリアです。
area	mie/isewan	伊勢湾	伊勢湾（三重側）は穏やかな内湾で砂地と岩礁が混在し、多彩な魚種が揃います。キス・カレイ・クロダイが狙いやすく、河口周辺ではシーバスの好ポイントも点在しています。
area	mie/kumano-nada	熊野灘	熊野灘は黒潮が接岸しやすく水温が高め、磯釣りの好適地が連なるエリアです。グレ・イシダイが年間を通じて高実績で、秋〜冬は良型グレの数釣りが期待できます。
area	mie/shima-minami-ise	志摩・南伊勢	志摩・南伊勢はリアス式海岸が複雑に入り組み、潮通しの良い磯・湾が数多くあります。マダイ・グレ・アオリイカが狙え、湾内の筏釣りではクロダイの好実績が続いています。
area	osaka/osakawan	大阪湾	大阪湾は穏やかな内湾で都市部からのアクセスが良く、護岸・波止が充実しています。チヌ・シーバス・アジが通年狙え、春〜初夏はサヨリ、秋はタチウオのシーズンが訪れます。
area	shizuoka/enshu-nada	遠州灘	遠州灘（静岡側）は遠州の空っ風が吹く外洋エリアで、サーフからの釣りが主体です。キス・ヒラメが定番ターゲットで、秋〜冬にはカレイも加わり投げ釣りの好期を迎えます。
